JPINTDDMEJPY|Japan Intervention: Japanese Bank purchases of DM/Euro against JPY|100 Million Yen
JPINTDEXR|Japan Intervention: Japanese Bank purchases of USD against DM|100 Million Yen
JPINTDUSDRP|Japan Intervention: Japanese Bank purchases of USD against Rupiah|100 Million Yen
USINTDMRKTJPY|U.S. Intervention: in Market Transactions in the JPY/USD (Millions of USD)|Millions of USD
USINTDCSOTH|U.S. Intervention: With-Customer Transactions in Other Currencies (Millions of USD)|Millions of USD
USINTDCSJPY|U.S. Intervention: With-Customer Transactions in the JPY/USD (Millions of USD)|Millions of USD
USINTDCSDM|U.S. Intervention: With-Customer Transactions in the DEM/USD (Euro since 1999) (Millions of USD)|Millions of USD
USINTDMRKTOTH|U.S. Intervention: in Market Transactions in Other Currencies (Millions of USD)|Millions of USD
TRINTDEXR|Turkish Intervention: Central Bank of Turkey Purchases of USD (Millions of USD)|Millions of USD
JPINTDUSDJPY|Japan Intervention: Japanese Bank purchases of USD against JPY|100 Million Yen
USINTDMRKTDM|U.S. Intervention: in Market Transactions in the DEM/USD (Euro since 1999) (Millions of USD)|Millions of USD
DTWEXM|Trade Weighted U.S. Dollar Index: Major Currencies, Goods|Index Mar 1973=100
DTWEXO|Trade Weighted U.S. Dollar Index: Other Important Trading Partners, Goods|Index Jan 1997=100
DTWEXB|Trade Weighted U.S. Dollar Index: Broad, Goods|Index Jan 1997=100
CBETHUSD|Coinbase Ethereum|U.S. Dollars
CBLTCUSD|Coinbase Litecoin|U.S. Dollars
CBBTCUSD|Coinbase Bitcoin|U.S. Dollars
CBBCHUSD|Coinbase Bitcoin Cash|U.S. Dollars
VXGOGCLS|CBOE Equity VIX on Google|Index
VXDCLS|CBOE DJIA Volatility Index|Index
VXGSCLS|CBOE Equity VIX on Goldman Sachs|Index
VXIBMCLS|CBOE Equity VIX on IBM|Index
VXAZNCLS|CBOE Equity VIX on Amazon|Index
VXOCLS|CBOE S&P 100 Volatility Index: VXO|Index
VXNCLS|CBOE NASDAQ 100 Volatility Index|Index
VXTYN|CBOE 10-Year Treasury Note Volatility Futures|Index
RVXCLS|CBOE Russell 2000 Volatility Index|Index
VXVCLS|CBOE S&P 500 3-Month Volatility Index|Index
VXAPLCLS|CBOE Equity VIX on Apple|Index
CHINTDCHFDM|Swiss Intervention: Swiss National Bank Purchases of DEM against CHF (Millions of DEM)|Millions of DEM
CHINTDUSDDM|Swiss Intervention: Swiss National Bank Purchases of USD against DEM (Millions of USD)|Millions of USD
CHINTDUSDJPY|Swiss Intervention: Swiss National Bank Purchases of USD against JPY (Millions of USD)|Millions of USD
CHINTDCHFUSD|Swiss Intervention: Swiss National Bank Purchases of USD against CHF (Millions of USD)|Millions of USD
DCPN3M|3-Month AA Nonfinancial Commercial Paper Rate|Percent
DCPN30|1-Month AA Nonfinancial Commercial Paper Rate|Percent
DCPN2M|2-Month AA Nonfinancial Commercial Paper Rate|Percent
DCPF3M|3-Month AA Financial Commercial Paper Rate|Percent
DCPF2M|2-Month AA Financial Commercial Paper Rate|Percent
DCPF1M|1-Month AA Financial Commercial Paper Rate|Percent
BAMLEMPTPRVICRPITRIV|ICE BofAML Private Sector Issuers Emerging Markets Corporate Plus Sub-Index Total Return Index Value|Index
BAMLEMPVPRIVSLCRPIUSTRIV|ICE BofAML Private Sector Issuers US Emerging Markets Liquid Corporate Plus Sub-Index Total Return Index Value|Index
BAMLEMPBPUBSICRPITRIV|ICE BofAML Public Sector Issuers Emerging Markets Corporate Plus Sub-Index Total Return Index Value|Index
BAMLEMPTPRVICRPIOAS|ICE BofAML Private Sector Issuers Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread|Percent
BAMLEMPVPRIVSLCRPIUSOAS|ICE BofAML Private Sector Issuers US Emerging Markets Liquid Corporate Plus Sub-Index Option-Adjusted Spread|Percent
BAMLEMPBPUBSICRPIOAS|ICE BofAML Public Sector Issuers Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread|Percent
BAMLEMPTPRVICRPIEY|ICE BofAML Private Sector Issuers Emerging Markets Corporate Plus Sub-Index Effective Yield|Percent
BAMLEMPVPRIVSLCRPIUSEY|ICE BofAML Private Sector Issuers US Emerging Markets Liquid Corporate Plus Sub-Index Effective Yield|Percent
BAMLEMPBPUBSICRPIEY|ICE BofAML Public Sector Issuers Emerging Markets Corporate Plus Sub-Index Effective Yield|Percent
VXGDXCLS|CBOE Gold Miners ETF Volatility Index|Index
VXFXICLS|CBOE China ETF Volatility Index|Index
VXEWZCLS|CBOE Brazil ETF Volatility Index|Index
VXEEMCLS|CBOE Emerging Markets ETF Volatility Index|Index
EVZCLS|CBOE EuroCurrency ETF Volatility Index|Index
GVZCLS|CBOE Gold ETF Volatility Index|Index
OVXCLS|CBOE Crude Oil ETF Volatility Index|Index
VXSLVCLS|CBOE Silver ETF Volatility Index|Index
VXXLECLS|CBOE Energy Sector ETF Volatility Index|Index
NONFIN14A2P2VOL|Number of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Number
NONFIN59A2P2VOL|Number of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Number
NONFIN59A2P2AMT|Total Value of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Millions of Dollars
NONFIN4180AAVOL|Number of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Nonfinancial Commercial Paper Rates|Number
ABGT80AAAMT|Total Value of Issues, with a Maturity Greater Than 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates|Millions of Dollars
NONFIN4180AAAMT|Total Value of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Nonfinancial Commercial Paper Rates|Millions of Dollars
NONFIN4180A2P2VOL|Number of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Number
NONFIN4180A2P2AMT|Total Value of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Millions of Dollars
NONFIN2140AAVOL|Number of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Nonfinancial Commercial Paper Rates|Number
NONFIN2140AAAMT|Total Value of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Nonfinancial Commercial Paper Rates|Millions of Dollars
NONFIN2140A2P2VOL|Number of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Number
NONFIN2140A2P2AMT|Total Value of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Millions of Dollars
NONFIN14AAVOL|Number of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the AA Nonfinancial Commercial Paper Rates|Number
NONFIN1020A2P2VOL|Number of Issues, with a Maturity Between 10 and 20 Days, Used in Calculating the A2/P2 Nonfinancial Commercial Paper Rates|Number
